benchmark,ct_overlap_perc,tc_overlap_perc,cc_overlap_perc,total_overlap_perc
b1,0.33736060497244375,0.28325313154792087,0.0,0.1539741101367165
b5,0.24803521217460248,0.9309995299857262,0.31940070143967975,0.40841530163406864
b6,0.0022776189801614216,0.9661026728181651,0.3637018277212265,0.3651186673761415
b7,0.06038393891786274,0.46557339367676137,0.08448172861398016,0.12833553351558946
b8,0.00011424194033166917,0.08086681678156217,0.641453353108711,0.6406625201084443
b10,0.014047476595909188,0.494838298287338,0.4775095858648788,0.477987934237355
