==1989== NVPROF is profiling process 1989, command: java -classpath /home/users/alberto.parravicini/Documents/graalvm-ce-java8-20.0.0/lib/installer/launcher-common.jar:/home/users/alberto.parravicini/Documents/graalvm-ce-java8-20.0.0/jre/lib/graalvm/graalpython-launcher.jar -XX:MaxHeapSize=24G com.oracle.g
==1989== Profiling application: java -classpath /home/users/alberto.parravicini/Documents/graalvm-ce-java8-20.0.0/lib/installer/launcher-common.jar:/home/users/alberto.parravicini/Documents/graalvm-ce-java8-20.0.0/jre/lib/graalvm/graalpython-launcher.jar -XX:MaxHeapSize=24G com.oracle.g
==1989== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Device","Context","Stream","Unified Memory","Virtual Address","Name","Correlation_ID"
s,ms,,,,,,,,B,B,,,,B,,,
54.209743,2.239711,64,1,1,32,1,1,31,0,0,"GeForce GTX 960 (0)","1","15",,,"argmax",42
54.212746,,,,,,,,,,,,,,"PC 0x37aa657d","0x11011c0000","[Unified Memory CPU page faults]",
54.213574,0.001408,,,,,,,,,,"GeForce GTX 960 (0)",,,4096.000000,"0x11011c0000","[Unified Memory Memcpy DtoH]",
54.213575,0.005088,,,,,,,,,,"GeForce GTX 960 (0)",,,61440.000000,"0x11011c1000","[Unified Memory Memcpy DtoH]",
54.949629,914.571581,64,1,1,32,1,1,32,0,0,"GeForce GTX 960 (0)","1","16",,,"rr_1",60
54.950459,0.101758,,,,,,,,,,"GeForce GTX 960 (0)",,,1310720.000000,"0x11514c0000","[Unified Memory Memcpy HtoD]",
54.950778,0.162398,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1151600000","[Unified Memory Memcpy HtoD]",
54.951086,0.162430,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1151800000","[Unified Memory Memcpy HtoD]",
54.951392,0.162781,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1151a00000","[Unified Memory Memcpy HtoD]",
54.951703,0.162590,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1151c00000","[Unified Memory Memcpy HtoD]",
54.952008,0.162429,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1151e00000","[Unified Memory Memcpy HtoD]",
54.952310,0.162526,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1152000000","[Unified Memory Memcpy HtoD]",
54.952616,0.162301,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1152200000","[Unified Memory Memcpy HtoD]",
54.952911,0.163134,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1152400000","[Unified Memory Memcpy HtoD]",
54.953208,0.162557,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1152600000","[Unified Memory Memcpy HtoD]",
54.953503,0.162558,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1152800000","[Unified Memory Memcpy HtoD]",
54.953808,0.162493,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1152a00000","[Unified Memory Memcpy HtoD]",
54.954102,0.163069,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1152c00000","[Unified Memory Memcpy HtoD]",
54.954400,0.162782,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1152e00000","[Unified Memory Memcpy HtoD]",
54.954701,0.162845,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1153000000","[Unified Memory Memcpy HtoD]",
54.954897,0.103998,,,,,,,,,,"GeForce GTX 960 (0)",,,1331200.000000,"0x1153200000","[Unified Memory Memcpy HtoD]",
54.955242,764.215288,64,1,1,32,1,1,23,0,0,"GeForce GTX 960 (0)","1","17",,,"nb_1",66
55.719620,1.277037,64,1,1,32,1,1,26,0,0,"GeForce GTX 960 (0)","1","17",,,"nb_2",75
55.721027,1.487658,64,1,1,32,1,1,25,0,0,"GeForce GTX 960 (0)","1","17",,,"nb_3",79
55.722518,2.846102,64,1,1,32,1,1,17,0,0,"GeForce GTX 960 (0)","1","17",,,"nb_4",86
55.725367,4.244384,64,1,1,32,1,1,26,0,0,"GeForce GTX 960 (0)","1","17",,,"softmax",89
55.729784,0.051583,,,,,,,,,,"GeForce GTX 960 (0)",,,655360.000000,"0x1153360000","[Unified Memory Memcpy HtoD]",
55.729894,0.163518,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1153400000","[Unified Memory Memcpy HtoD]",
55.730059,0.162909,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1153600000","[Unified Memory Memcpy HtoD]",
55.730223,0.163422,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1153800000","[Unified Memory Memcpy HtoD]",
55.730387,0.163549,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1153a00000","[Unified Memory Memcpy HtoD]",
55.730552,0.163582,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1153c00000","[Unified Memory Memcpy HtoD]",
55.730717,0.163486,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1153e00000","[Unified Memory Memcpy HtoD]",
55.730881,0.163165,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1154000000","[Unified Memory Memcpy HtoD]",
55.731045,0.163998,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1154200000","[Unified Memory Memcpy HtoD]",
55.731211,0.163869,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1154400000","[Unified Memory Memcpy HtoD]",
55.731376,0.163518,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1154600000","[Unified Memory Memcpy HtoD]",
55.731540,0.164061,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1154800000","[Unified Memory Memcpy HtoD]",
55.731706,0.164126,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1154a00000","[Unified Memory Memcpy HtoD]",
55.731871,0.163581,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1154c00000","[Unified Memory Memcpy HtoD]",
55.732036,0.163358,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1154e00000","[Unified Memory Memcpy HtoD]",
55.732200,0.154430,,,,,,,,,,"GeForce GTX 960 (0)",,,1986560.000000,"0x1155000000","[Unified Memory Memcpy HtoD]",
55.864344,437.112379,64,1,1,32,1,1,22,0,0,"GeForce GTX 960 (0)","1","16",,,"rr_2",71
56.301616,1.919108,64,1,1,32,1,1,17,0,0,"GeForce GTX 960 (0)","1","16",,,"rr_3",83
56.303539,2.679128,64,1,1,32,1,1,26,0,0,"GeForce GTX 960 (0)","1","16",,,"softmax",92
56.306222,2.242622,64,1,1,32,1,1,31,0,0,"GeForce GTX 960 (0)","1","17",,,"argmax",98
56.308722,,,,,,,,,,,,,,"PC 0x37aa657d","0x11011c0000","[Unified Memory CPU page faults]",
56.308739,0.001248,,,,,,,,,,"GeForce GTX 960 (0)",,,4096.000000,"0x11011c0000","[Unified Memory Memcpy DtoH]",
56.308740,0.005056,,,,,,,,,,"GeForce GTX 960 (0)",,,61440.000000,"0x11011c1000","[Unified Memory Memcpy DtoH]",
56.760388,911.316237,64,1,1,32,1,1,32,0,0,"GeForce GTX 960 (0)","1","18",,,"rr_1",116
56.760688,0.101854,,,,,,,,,,"GeForce GTX 960 (0)",,,1310720.000000,"0x11514c0000","[Unified Memory Memcpy HtoD]",
56.760795,0.163230,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1151600000","[Unified Memory Memcpy HtoD]",
56.760959,0.162526,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1151800000","[Unified Memory Memcpy HtoD]",
56.761123,0.162494,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1151a00000","[Unified Memory Memcpy HtoD]",
56.761287,0.162590,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1151c00000","[Unified Memory Memcpy HtoD]",
56.761451,0.162365,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1151e00000","[Unified Memory Memcpy HtoD]",
56.761614,0.162366,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1152000000","[Unified Memory Memcpy HtoD]",
56.761777,0.162429,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1152200000","[Unified Memory Memcpy HtoD]",
56.761941,0.162430,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1152400000","[Unified Memory Memcpy HtoD]",
56.762105,0.162717,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1152600000","[Unified Memory Memcpy HtoD]",
56.762268,0.162718,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1152800000","[Unified Memory Memcpy HtoD]",
56.762432,0.162878,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1152a00000","[Unified Memory Memcpy HtoD]",
56.762596,0.162621,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1152c00000","[Unified Memory Memcpy HtoD]",
56.762760,0.162942,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1152e00000","[Unified Memory Memcpy HtoD]",
56.762924,0.162429,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1153000000","[Unified Memory Memcpy HtoD]",
56.763088,0.103455,,,,,,,,,,"GeForce GTX 960 (0)",,,1331200.000000,"0x1153200000","[Unified Memory Memcpy HtoD]",
56.763226,763.909822,64,1,1,32,1,1,23,0,0,"GeForce GTX 960 (0)","1","19",,,"nb_1",122
57.527295,1.278477,64,1,1,32,1,1,26,0,0,"GeForce GTX 960 (0)","1","19",,,"nb_2",131
57.528701,1.494634,64,1,1,32,1,1,25,0,0,"GeForce GTX 960 (0)","1","19",,,"nb_3",135
57.530199,2.849974,64,1,1,32,1,1,17,0,0,"GeForce GTX 960 (0)","1","19",,,"nb_4",142
57.533053,4.238913,64,1,1,32,1,1,26,0,0,"GeForce GTX 960 (0)","1","19",,,"softmax",145
57.537466,0.051647,,,,,,,,,,"GeForce GTX 960 (0)",,,655360.000000,"0x1153360000","[Unified Memory Memcpy HtoD]",
57.537574,0.163550,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1153400000","[Unified Memory Memcpy HtoD]",
57.537739,0.163422,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1153600000","[Unified Memory Memcpy HtoD]",
57.537904,0.164062,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1153800000","[Unified Memory Memcpy HtoD]",
57.538069,0.163134,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1153a00000","[Unified Memory Memcpy HtoD]",
57.538233,0.163357,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1153c00000","[Unified Memory Memcpy HtoD]",
57.538398,0.163614,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1153e00000","[Unified Memory Memcpy HtoD]",
57.538563,0.163005,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1154000000","[Unified Memory Memcpy HtoD]",
57.538727,0.163934,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1154200000","[Unified Memory Memcpy HtoD]",
57.538892,0.163581,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1154400000","[Unified Memory Memcpy HtoD]",
57.539057,0.163838,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1154600000","[Unified Memory Memcpy HtoD]",
57.539221,0.163997,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1154800000","[Unified Memory Memcpy HtoD]",
57.539387,0.163582,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1154a00000","[Unified Memory Memcpy HtoD]",
57.539551,0.163646,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1154c00000","[Unified Memory Memcpy HtoD]",
57.539716,0.163133,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1154e00000","[Unified Memory Memcpy HtoD]",
57.539880,0.154846,,,,,,,,,,"GeForce GTX 960 (0)",,,1986560.000000,"0x1155000000","[Unified Memory Memcpy HtoD]",
57.671859,435.998315,64,1,1,32,1,1,22,0,0,"GeForce GTX 960 (0)","1","18",,,"rr_2",127
58.108018,1.922724,64,1,1,32,1,1,17,0,0,"GeForce GTX 960 (0)","1","18",,,"rr_3",139
58.109943,2.671608,64,1,1,32,1,1,26,0,0,"GeForce GTX 960 (0)","1","18",,,"softmax",148
58.112618,2.255679,64,1,1,32,1,1,31,0,0,"GeForce GTX 960 (0)","1","19",,,"argmax",154
58.115104,,,,,,,,,,,,,,"PC 0x37aa657d","0x11011c0000","[Unified Memory CPU page faults]",
58.115122,0.001216,,,,,,,,,,"GeForce GTX 960 (0)",,,4096.000000,"0x11011c0000","[Unified Memory Memcpy DtoH]",
58.115123,0.005056,,,,,,,,,,"GeForce GTX 960 (0)",,,61440.000000,"0x11011c1000","[Unified Memory Memcpy DtoH]",
58.462523,912.558057,64,1,1,32,1,1,32,0,0,"GeForce GTX 960 (0)","1","20",,,"rr_1",172
58.462790,0.102238,,,,,,,,,,"GeForce GTX 960 (0)",,,1310720.000000,"0x11514c0000","[Unified Memory Memcpy HtoD]",
58.462902,0.162941,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1151600000","[Unified Memory Memcpy HtoD]",
58.463066,0.162686,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1151800000","[Unified Memory Memcpy HtoD]",
58.463230,0.163102,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1151a00000","[Unified Memory Memcpy HtoD]",
58.463394,0.162237,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1151c00000","[Unified Memory Memcpy HtoD]",
58.463558,0.163166,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1151e00000","[Unified Memory Memcpy HtoD]",
58.463722,0.162397,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1152000000","[Unified Memory Memcpy HtoD]",
58.463886,0.162334,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1152200000","[Unified Memory Memcpy HtoD]",
58.464049,0.162813,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1152400000","[Unified Memory Memcpy HtoD]",
58.464213,0.162782,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1152600000","[Unified Memory Memcpy HtoD]",
58.464377,0.162430,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1152800000","[Unified Memory Memcpy HtoD]",
58.464541,0.162302,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1152a00000","[Unified Memory Memcpy HtoD]",
58.464704,0.162270,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1152c00000","[Unified Memory Memcpy HtoD]",
58.464867,0.162525,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1152e00000","[Unified Memory Memcpy HtoD]",
58.465031,0.162590,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1153000000","[Unified Memory Memcpy HtoD]",
58.465195,0.103774,,,,,,,,,,"GeForce GTX 960 (0)",,,1331200.000000,"0x1153200000","[Unified Memory Memcpy HtoD]",
58.465506,764.218885,64,1,1,32,1,1,23,0,0,"GeForce GTX 960 (0)","1","21",,,"nb_1",178
59.229859,1.268877,64,1,1,32,1,1,26,0,0,"GeForce GTX 960 (0)","1","21",,,"nb_2",187
59.231256,1.486154,64,1,1,32,1,1,25,0,0,"GeForce GTX 960 (0)","1","21",,,"nb_3",191
59.232746,2.842006,64,1,1,32,1,1,17,0,0,"GeForce GTX 960 (0)","1","21",,,"nb_4",198
59.235591,4.237377,64,1,1,32,1,1,26,0,0,"GeForce GTX 960 (0)","1","21",,,"softmax",201
59.239999,0.051583,,,,,,,,,,"GeForce GTX 960 (0)",,,655360.000000,"0x1153360000","[Unified Memory Memcpy HtoD]",
59.240109,0.163165,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1153400000","[Unified Memory Memcpy HtoD]",
59.240273,0.163262,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1153600000","[Unified Memory Memcpy HtoD]",
59.240438,0.163389,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1153800000","[Unified Memory Memcpy HtoD]",
59.240602,0.163518,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1153a00000","[Unified Memory Memcpy HtoD]",
59.240767,0.163261,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1153c00000","[Unified Memory Memcpy HtoD]",
59.240931,0.163198,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1153e00000","[Unified Memory Memcpy HtoD]",
59.241096,0.163485,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1154000000","[Unified Memory Memcpy HtoD]",
59.241260,0.163454,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1154200000","[Unified Memory Memcpy HtoD]",
59.241425,0.163550,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1154400000","[Unified Memory Memcpy HtoD]",
59.241589,0.163358,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1154600000","[Unified Memory Memcpy HtoD]",
59.241754,0.163486,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1154800000","[Unified Memory Memcpy HtoD]",
59.241919,0.163805,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1154a00000","[Unified Memory Memcpy HtoD]",
59.242084,0.164158,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1154c00000","[Unified Memory Memcpy HtoD]",
59.242249,0.163421,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1154e00000","[Unified Memory Memcpy HtoD]",
59.242414,0.155102,,,,,,,,,,"GeForce GTX 960 (0)",,,1986560.000000,"0x1155000000","[Unified Memory Memcpy HtoD]",
59.375238,436.314797,64,1,1,32,1,1,22,0,0,"GeForce GTX 960 (0)","1","20",,,"rr_2",183
59.811680,1.920324,64,1,1,32,1,1,17,0,0,"GeForce GTX 960 (0)","1","20",,,"rr_3",195
