==10958== NVPROF is profiling process 10958, command: java -classpath /home/users/alberto.parravicini/Documents/graalvm-ce-java8-20.0.0/lib/installer/launcher-common.jar:/home/users/alberto.parravicini/Documents/graalvm-ce-java8-20.0.0/jre/lib/graalvm/graalpython-launcher.jar -XX:MaxHeapSize=24G com.oracle.g
==10958== Profiling application: java -classpath /home/users/alberto.parravicini/Documents/graalvm-ce-java8-20.0.0/lib/installer/launcher-common.jar:/home/users/alberto.parravicini/Documents/graalvm-ce-java8-20.0.0/jre/lib/graalvm/graalpython-launcher.jar -XX:MaxHeapSize=24G com.oracle.g
==10958== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Device","Context","Stream","Unified Memory","Virtual Address","Name","Correlation_ID"
s,ms,,,,,,,,B,B,,,,B,,,
53.895938,0.208768,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1105000000","[Unified Memory Memcpy HtoD]",
53.896149,0.210848,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1105200000","[Unified Memory Memcpy HtoD]",
53.896363,0.227712,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1105400000","[Unified Memory Memcpy HtoD]",
53.896593,0.213248,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1105600000","[Unified Memory Memcpy HtoD]",
53.896807,0.204096,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1105800000","[Unified Memory Memcpy HtoD]",
53.897013,0.206368,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1105a00000","[Unified Memory Memcpy HtoD]",
53.897221,0.207136,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1105c00000","[Unified Memory Memcpy HtoD]",
53.897429,0.206016,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1105e00000","[Unified Memory Memcpy HtoD]",
53.897637,0.204768,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1106000000","[Unified Memory Memcpy HtoD]",
53.897843,0.213568,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1106200000","[Unified Memory Memcpy HtoD]",
53.898058,0.206528,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1106400000","[Unified Memory Memcpy HtoD]",
53.898266,0.199424,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1106600000","[Unified Memory Memcpy HtoD]",
53.898466,0.165664,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1106800000","[Unified Memory Memcpy HtoD]",
53.898633,0.165984,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1106a00000","[Unified Memory Memcpy HtoD]",
53.898801,0.164096,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1106c00000","[Unified Memory Memcpy HtoD]",
53.898966,0.163584,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1106e00000","[Unified Memory Memcpy HtoD]",
53.899131,0.164448,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1107000000","[Unified Memory Memcpy HtoD]",
53.899296,0.166976,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1107200000","[Unified Memory Memcpy HtoD]",
53.899465,0.164320,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1107400000","[Unified Memory Memcpy HtoD]",
53.899630,0.164128,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1107600000","[Unified Memory Memcpy HtoD]",
53.899796,0.163584,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1107800000","[Unified Memory Memcpy HtoD]",
53.899960,0.163392,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1107a00000","[Unified Memory Memcpy HtoD]",
53.900125,0.163296,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1107c00000","[Unified Memory Memcpy HtoD]",
53.900289,0.163072,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1107e00000","[Unified Memory Memcpy HtoD]",
53.900454,0.163936,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1108000000","[Unified Memory Memcpy HtoD]",
53.900619,0.163648,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1108200000","[Unified Memory Memcpy HtoD]",
53.900784,0.163328,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1108400000","[Unified Memory Memcpy HtoD]",
53.900948,0.164480,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1108600000","[Unified Memory Memcpy HtoD]",
53.901114,0.168320,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1108800000","[Unified Memory Memcpy HtoD]",
53.901284,0.164896,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1108a00000","[Unified Memory Memcpy HtoD]",
53.901450,0.164224,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1108c00000","[Unified Memory Memcpy HtoD]",
53.901615,0.162976,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1108e00000","[Unified Memory Memcpy HtoD]",
53.901780,0.163136,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1109000000","[Unified Memory Memcpy HtoD]",
53.901944,0.162848,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1109200000","[Unified Memory Memcpy HtoD]",
53.902108,0.163072,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1109400000","[Unified Memory Memcpy HtoD]",
53.902272,0.163136,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1109600000","[Unified Memory Memcpy HtoD]",
53.902437,0.163232,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1109800000","[Unified Memory Memcpy HtoD]",
53.902601,0.162880,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1109a00000","[Unified Memory Memcpy HtoD]",
53.902766,0.162880,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1109c00000","[Unified Memory Memcpy HtoD]",
53.902930,0.171968,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1109e00000","[Unified Memory Memcpy HtoD]",
53.903050,44.778996,8,8,1,8,8,1,24,0,36,"GeForce GTX 960 (0)","1","14",,,"gaussian_blur",4
53.903103,0.163488,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x110a000000","[Unified Memory Memcpy HtoD]",
53.903268,0.163712,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x110a200000","[Unified Memory Memcpy HtoD]",
53.903433,0.163328,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x110a400000","[Unified Memory Memcpy HtoD]",
53.903597,0.154528,,,,,,,,,,"GeForce GTX 960 (0)",,,1982464.000000,"0x110a600000","[Unified Memory Memcpy HtoD]",
53.903753,0.002784,,,,,,,,,,"GeForce GTX 960 (0)",,,20480.000000,"0x1100a80000","[Unified Memory Memcpy HtoD]",
53.904405,57.438355,8,8,1,8,8,1,24,0,100,"GeForce GTX 960 (0)","1","15",,,"gaussian_blur",9
53.905046,48.124034,8,8,1,8,8,1,24,0,36,"GeForce GTX 960 (0)","1","16",,,"gaussian_blur",14
53.947977,18.030061,8,8,1,8,8,1,40,72,0,"GeForce GTX 960 (0)","1","14",,,"sobel",18
53.961964,12.745214,8,8,1,8,8,1,40,72,0,"GeForce GTX 960 (0)","1","15",,,"sobel",22
53.974793,4.016418,16,1,1,128,1,1,8,0,0,"GeForce GTX 960 (0)","1","15",,,"maximum",26
53.978871,4.012483,16,1,1,128,1,1,8,0,0,"GeForce GTX 960 (0)","1","15",,,"minimum",30
53.982980,6.938134,16,1,1,128,1,1,13,0,0,"GeForce GTX 960 (0)","1","15",,,"extend",35
53.983045,6.108994,16,1,1,128,1,1,12,0,0,"GeForce GTX 960 (0)","1","16",,,"unsharpen",42
53.990160,5.554635,16,1,1,128,1,1,13,0,0,"GeForce GTX 960 (0)","1","15",,,"combine",50
53.995966,5.578571,16,1,1,128,1,1,13,0,0,"GeForce GTX 960 (0)","1","14",,,"combine",58
54.002383,,,,,,,,,,,,,,"PC 0x9913d8ae","0x1110000000","[Unified Memory CPU page faults]",
54.003236,0.001536,,,,,,,,,,"GeForce GTX 960 (0)",,,4096.000000,"0x1110000000","[Unified Memory Memcpy DtoH]",
54.003238,0.005312,,,,,,,,,,"GeForce GTX 960 (0)",,,61440.000000,"0x1110001000","[Unified Memory Memcpy DtoH]",
54.159219,0.001984,,,,,,,,,,"GeForce GTX 960 (0)",,,8192.000000,"0x1100a83000","[Unified Memory Memcpy HtoD]",
54.159454,39.684194,8,8,1,8,8,1,24,0,36,"GeForce GTX 960 (0)","1","17",,,"gaussian_blur",78
54.160042,49.319087,8,8,1,8,8,1,24,0,100,"GeForce GTX 960 (0)","1","18",,,"gaussian_blur",83
54.160561,41.240011,8,8,1,8,8,1,24,0,36,"GeForce GTX 960 (0)","1","19",,,"gaussian_blur",88
54.199262,15.714801,8,8,1,8,8,1,40,72,0,"GeForce GTX 960 (0)","1","17",,,"sobel",92
54.209524,11.981993,8,8,1,8,8,1,40,72,0,"GeForce GTX 960 (0)","1","18",,,"sobel",96
54.221643,3.549130,16,1,1,128,1,1,8,0,0,"GeForce GTX 960 (0)","1","18",,,"maximum",100
