==808== NVPROF is profiling process 808, command: java -classpath /home/users/alberto.parravicini/Documents/graalvm-ce-java8-20.0.0/lib/installer/launcher-common.jar:/home/users/alberto.parravicini/Documents/graalvm-ce-java8-20.0.0/jre/lib/graalvm/graalpython-launcher.jar -XX:MaxHeapSize=24G com.oracle.g
==808== Profiling application: java -classpath /home/users/alberto.parravicini/Documents/graalvm-ce-java8-20.0.0/lib/installer/launcher-common.jar:/home/users/alberto.parravicini/Documents/graalvm-ce-java8-20.0.0/jre/lib/graalvm/graalpython-launcher.jar -XX:MaxHeapSize=24G com.oracle.g
==808== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Device","Context","Stream","Unified Memory","Virtual Address","Name","Correlation_ID"
s,ms,,,,,,,,B,B,,,,B,,,
8.846326,0.167648,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1105000000","[Unified Memory Memcpy HtoD]",
8.846495,0.171968,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1105200000","[Unified Memory Memcpy HtoD]",
8.846668,0.172128,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1105400000","[Unified Memory Memcpy HtoD]",
8.846842,0.171744,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1105600000","[Unified Memory Memcpy HtoD]",
8.847015,0.173696,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1105800000","[Unified Memory Memcpy HtoD]",
8.847190,0.166720,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1105a00000","[Unified Memory Memcpy HtoD]",
8.847358,0.165984,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1105c00000","[Unified Memory Memcpy HtoD]",
8.847525,0.176128,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1105e00000","[Unified Memory Memcpy HtoD]",
8.847702,0.165696,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1106000000","[Unified Memory Memcpy HtoD]",
8.847869,0.167552,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1106200000","[Unified Memory Memcpy HtoD]",
8.848038,0.171232,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1106400000","[Unified Memory Memcpy HtoD]",
8.848210,0.178624,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1106600000","[Unified Memory Memcpy HtoD]",
8.848390,0.218848,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1106800000","[Unified Memory Memcpy HtoD]",
8.848610,0.220032,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1106a00000","[Unified Memory Memcpy HtoD]",
8.848831,0.223616,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1106c00000","[Unified Memory Memcpy HtoD]",
8.849056,0.229056,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1106e00000","[Unified Memory Memcpy HtoD]",
8.849287,0.219872,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1107000000","[Unified Memory Memcpy HtoD]",
8.849508,0.225632,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1107200000","[Unified Memory Memcpy HtoD]",
8.849735,0.222560,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1107400000","[Unified Memory Memcpy HtoD]",
8.849959,0.213024,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1107600000","[Unified Memory Memcpy HtoD]",
8.850173,0.212608,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1107800000","[Unified Memory Memcpy HtoD]",
8.850387,0.221408,,,,,,,,,,"GeForce GTX 960 (0)",,,2097152.000000,"0x1107a00000","[Unified Memory Memcpy HtoD]",
